,Company Name,Location,Companylink
0,                   Childcare Opportunity                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/childcare-opportunity-15-1254722
1,                   ESTIMATED ROI: 272%-466%                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/estimated-roi-272-466--15-911960
2,                   Focus Container Line P/L                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/focus-container-line-p-l-15-1245217
3,                   Carefully Planned                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/carefully-planned-15-1242578
4,                   AXIOM Holographics                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/axiom-holographics-15-1038436
5,                   AI-Powered Trading Robot                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/ai-powered-trading-robot-15-777977
6,                   Rock Emporium                 ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/rock-emporium-15-1241919
7,                   DDoubleUP App                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/ddoubleup-app-15-1242492
8,                   START UP WITH MVP                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/start-up-mvp-15-1186473
9,                   Local Brewing Co.                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/local-brewing-co-15-1253544
10,                   FinTech Trading using AI                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/fintech-trading-using-ai-15-1129250
11,                   AirShare                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/airshare-15-1212068
12,                   Team Technology Group                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/team-technology-group-15-1240275
13,                   Prestige Rentals                 ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/prestige-rentals-15-1244088
14,                   Mother of Pearl Vodka                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/mother-pearl-vodka-15-1254772
15,                   WORLD VANILLA SCARCITY                ,"                   Pacific Islands, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/world-vanilla-scarcity-15-1232328
16,                   Bridging Loan Good ROI                ,"                   Northern Territory, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/bridging-loan-good-roi-15-1177296
17,                   Bugal                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/bugal-15-1246140
18,                   HOME COMPOST MANUFACTURE                ,"                   Tasmania, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/home-compost-manufacture-15-1208888
19,                   FAE SWIM                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/fae-swim-15-1252628
20,                   GeoStab                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/geostab-15-970778
21,                   Druuna Morbus Gravis Film                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/druuna-morbus-gravis-film-15-1243336
22,                   Demk Developments Pty Ltd                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/demk-developments-pty-ltd-15-1161839
23,                   ProSteer for Xbox                ,"                   Queensland, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/prosteer-for-xbox-15-1067016
24,                   Private Finance - Joinery                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/private-finance-joinery-15-1247304
25,                   Elemento Dragons NFTs                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/elemento-dragons-nfts-15-1241418
26,                   Orana Stay                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/orana-stay-15-1247740
27,                   Australian Glow                ,"                   Victoria, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/australian-glow-15-1248525
28,                   Funding for start up                ,"                   Tasmania, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/funding-for-start-up-15-1248542
29,                   Retaining Quality Tenants                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/retaining-quality-tenants-15-1238641
30,                   Cyber Safety App                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/cyber-safety-app-15-1220347
31,                   Giving the Gift of Voice                 ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/giving-the-gift-voice-15-1220116
32,                   NFT's Incubator                ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/nfts-incubator-15-1216947
33,                   Antibody Lead Discovery                 ,"                   New South Wales, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/antibody-lead-discovery-15-1255194
34,                   Zixxth SOLutions Fusion                 ,"                   South Australia, Australia                ",https://www.australianinvestmentnetwork.com/business-proposals/zixxth-solutions-fusion-15-1247320
